id,rating_mean,rating_count,bayesian_rating
680,3.5,2,4.020282336593649
683,3.857142857142857,7,4.0090143718194
688,4.0,2,4.270282336593649
689,4.5,8,4.5081129346374595
693,4.4375,16,4.448951630354144
705,4.5,2,4.520282336593649
712,4.0,1,4.3603764487915315
719,4.266666666666667,15,4.298889961551446
730,5.0,3,4.816225869274919
747,4.4,10,4.423427445531217
749,4.781609195402299,174,4.778870053104402
754,4.6923076923076925,13,4.672075289758307
759,5.0,2,4.770282336593649
768,4.333333333333333,3,4.4162258692749194
776,4.75,4,4.680188224395766
779,5.0,2,4.770282336593649
822,4.679012345679013,81,4.675676257185236
824,5.0,1,4.693709782124865
828,3.0,3,3.616225869274919
833,5.0,1,4.693709782124865
834,3.840909090909091,44,3.87132889883423
860,4.518072289156627,83,4.518601521722054
868,4.5,2,4.520282336593649
876,4.75,4,4.680188224395766
897,4.545454545454546,11,4.544702257413431
912,4.5,2,4.520282336593649
913,5.0,1,4.693709782124865
916,4.333333333333333,102,4.3373185514074475
933,4.5,2,4.520282336593649
958,4.0,4,4.180188224395766
962,4.9,10,4.840094112197883
970,4.714285714285714,7,4.675681038486066
975,5.0,3,4.816225869274919
992,4.916666666666667,12,4.862937810455328
1005,4.699186991869919,123,4.696649034770997
1035,4.816901408450704,71,4.809330538991433
1069,5.0,4,4.846854891062432
1103,4.333333333333333,3,4.4162258692749194
1106,4.2,10,4.25676077886455
1127,2.0,1,3.6937097821248646
1129,4.6,5,4.583018478053513
1133,4.55,20,4.549142243017027
1136,4.444444444444445,9,4.461920849670418
1148,5.0,1,4.693709782124865
1151,5.0,6,4.885141168296824
1155,5.0,1,4.693709782124865
1157,4.5,14,4.505070584148412
1183,4.8,5,4.7258756209106565
1184,4.0,2,4.270282336593649
1196,3.4,5,3.7258756209106565
1201,4.0,3,4.216225869274919
1207,4.75,12,4.720080667598185
1217,4.666666666666667,6,4.635141168296824
1236,4.722222222222222,36,4.712661298588805
1267,4.666666666666667,27,4.657969977461193
1293,4.535714285714286,28,4.536037644879153
1296,4.0,2,4.270282336593649
1355,5.0,4,4.846854891062432
1356,4.571955719557195,271,4.571725748521518
1396,5.0,1,4.693709782124865
1423,4.869565217391305,23,4.843245173854984
1437,5.0,1,4.693709782124865
1438,4.535714285714286,28,4.536037644879153
1465,5.0,3,4.816225869274919
1522,4.904761904761905,21,4.873092580277157
1525,5.0,1,4.693709782124865
1526,5.0,1,4.693709782124865
1528,5.0,1,4.693709782124865
1533,5.0,1,4.693709782124865
1552,5.0,1,4.693709782124865
1557,5.0,7,4.897903260708288
1560,5.0,1,4.693709782124865
1564,4.0,2,4.270282336593649
1580,4.5,2,4.520282336593649
1593,5.0,2,4.770282336593649
1595,3.6,5,3.8687327637677993
1599,3.6666666666666665,3,4.016225869274919
1600,4.764705882352941,51,4.756247723516502
1612,4.5,2,4.520282336593649
1633,3.8947368421052633,19,3.9562442545892664
1721,4.666666666666667,6,4.635141168296824
1725,4.666666666666667,3,4.616225869274919
1832,4.875,8,4.808112934637459
1870,5.0,2,4.770282336593649
1881,3.8,5,4.011589906624942
1904,4.666666666666667,21,4.655701275929331
1940,5.0,4,4.846854891062432
1955,3.25,4,3.6801882243957658
1967,4.5,2,4.520282336593649
1982,4.636363636363637,33,4.630889409896416
1985,4.724137931034483,87,4.720012689285109
2015,4.625,8,4.608112934637459
2019,5.0,1,4.693709782124865
2056,4.756756756756757,37,4.745669983240374
2057,5.0,2,4.770282336593649
2066,4.375,16,4.393396074798589
2086,4.294117647058823,17,4.320059439282874
2092,2.5,2,3.5202823365936484
2100,2.0,1,3.6937097821248646
2105,5.0,2,4.770282336593649
2111,4.888888888888889,9,4.825557213306781
2113,3.75,4,4.013521557729099
2121,3.0,1,4.027043115458198
2123,4.285714285714286,7,4.342347705152733
2130,4.5,2,4.520282336593649
2137,4.5,30,4.502535292074206
2141,5.0,2,4.770282336593649
2142,5.0,1,4.693709782124865
2146,5.0,15,4.945948785080859
2155,3.7142857142857144,7,3.897903260708288
2164,4.25,4,4.346854891062432
2175,5.0,2,4.770282336593649
2218,3.4,5,3.7258756209106565
2221,5.0,1,4.693709782124865
2238,4.333333333333333,9,4.371011758761327
2255,4.333333333333333,3,4.4162258692749194
2309,5.0,2,4.770282336593649
2329,4.0,2,4.270282336593649
2366,4.333333333333333,12,4.362937810455328
2386,4.0,1,4.3603764487915315
2387,5.0,9,4.916466304215873
2388,4.5,2,4.520282336593649
2405,3.5,2,4.020282336593649
2417,5.0,1,4.693709782124865
2438,4.666666666666667,3,4.616225869274919
2495,4.666666666666667,3,4.616225869274919
2496,4.729124236252546,491,4.72835928873504
2509,4.790697674418604,43,4.779580652141656
2514,5.0,3,4.816225869274919
2515,3.6666666666666665,3,4.016225869274919
2518,4.333333333333333,3,4.4162258692749194
2519,3.272727272727273,11,3.4677791804903535
2520,5.0,6,4.885141168296824
2535,3.3333333333333335,6,3.6351411682968244
2540,5.0,1,4.693709782124865
2543,4.166666666666667,6,4.260141168296824
2549,5.0,1,4.693709782124865
2560,4.333333333333333,3,4.4162258692749194
2571,3.8,5,4.011589906624942
2576,4.875,8,4.808112934637459
2595,4.0,1,4.3603764487915315
2597,3.0,1,4.027043115458198
2611,4.75,8,4.70811293463746
2615,5.0,3,4.816225869274919
2621,4.666666666666667,6,4.635141168296824
2622,3.0,3,3.616225869274919
2630,4.0,1,4.3603764487915315
2632,4.0,2,4.270282336593649
2633,4.666666666666667,3,4.616225869274919
